Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Femenino,Publico,400.5777,459.2893,436.2722,432.0464,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,335.803,342.5644,344.19270000000006,340.85336666666666,No,No,Si,No,No,Si,No,Si
Masculino,Publico,308.40059999999994,292.5867,293.39490000000006,298.1274,Si,No,Si,Si,Si,Si,Si,No
Femenino,Privado,339.39520000000005,315.77479999999997,325.2904,326.82013333333333,Si,No,No,Si,Si,No,Si,
Masculino,Publico,366.7091,368.2043,358.74,364.5511333333333,No,No,Si,Si,No,Si,Si,Si
Masculino,Publico,396.7174,446.2465,394.1026,412.35549999999995,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,420.31620000000004,457.0289000000001,411.0541,429.4664,Si,Si,Si,Si,No,Si,No,Si
Femenino,Publico,449.3803,586.1223,513.4549000000001,516.3191666666667,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Publico,587.7362999999999,601.7947,579.2582,589.5964,Si,No,Si,Si,No,No,No,Si
Masculino,Privado,435.36449999999996,476.2019,450.35060000000004,453.9723333333333,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,347.6355,398.15040000000005,369.86800000000005,371.8846333333334,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,512.2794,519.9239,598.2261000000001,543.4764666666667,Si,No,Si,Si,No,No,No,No
Femenino,Publico,470.23969999999997,579.94,494.6178,514.9325,Si,,Si,Si,No,No,No,Si
Femenino,Publico,504.7893,475.0592,468.83020000000005,482.89290000000005,Si,Si,Si,Si,No,No,No,Si
Masculino,Publico,492.4093999999999,507.7478,479.16179999999997,493.10633333333334,No,No,Si,Si,No,Si,No,Si
Masculino,Publico,282.6122,314.9189,306.93729999999994,301.4894666666666,No,No,Si,Si,Si,Si,No,Si
Femenino,Publico,326.3875,340.5634,304.50910000000005,323.82,No,No,,No,No,Si,Si,
Masculino,Privado,504.9343999999999,572.6047,452.90080000000006,510.14663333333334,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,331.2349,335.7586,265.7881,310.9272,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,318.48879999999997,335.96709999999996,327.6817,327.37919999999997,Si,No,Si,No,Si,No,No,No
Masculino,Publico,344.62829999999997,348.91240000000005,330.2259,341.25553333333335,Si,Si,Si,Si,No,Si,No,Si
Femenino,Publico,331.81620000000004,332.3357,339.0151,334.38900000000007,Si,No,No,Si,Si,No,Si,Si
Femenino,Publico,316.2015,375.0098,291.9225,327.71126666666663,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,367.4886,361.8804,369.27649999999994,366.2151666666667,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,376.1674999999999,341.148,376.11400000000003,364.4765,Si,Si,No,Si,Si,Si,Si,
Masculino,Publico,364.7549,366.7955999999999,393.33349999999996,374.96133333333336,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,354.8313,396.9129999999999,404.00749999999994,385.2505999999999,No,No,No,Si,Si,No,Si,Si
Femenino,Publico,457.33639999999997,477.1806,472.0031,468.8400333333334,Si,No,Si,No,Si,Si,No,No
Masculino,Publico,561.6023,527.6725,535.9508,541.7418666666667,No,Si,Si,Si,No,Si,No,No
Masculino,Publico,481.22860000000003,540.2394999999999,513.2038,511.55729999999994,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,340.10670000000005,353.80690000000004,362.9401,352.2845666666667,Si,Si,Si,Si,No,Si,No,Si
Masculino,Publico,438.4704,499.83389999999997,442.09580000000005,460.1333666666667,Si,No,Si,Si,No,Si,Si,No
Masculino,Publico,374.9341,408.30230000000006,407.7048,396.9804,Si,No,No,No,Si,No,No,Si
Masculino,Privado,284.9174,236.0109,351.2973,290.7418666666667,Si,No,Si,Si,Si,Si,No,No
Masculino,Publico,320.35810000000004,293.69440000000003,338.3867,317.47973333333334,No,Si,No,,Si,Si,Si,Si
Femenino,Publico,373.5019,429.7075,410.9057000000001,404.70503333333335,Si,,Si,No,No,Si,Si,
Masculino,Publico,501.3456,531.0822000000001,509.06180000000006,513.8298666666666,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Publico,354.72209999999995,363.3575,373.9526,364.01073333333335,Si,No,No,Si,Si,No,Si,Si
Masculino,Publico,350.8193,383.78460000000007,356.9145,363.8394666666666,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,387.8502,380.9296,403.61240000000004,390.7974,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,458.31239999999997,506.6821,507.7580999999999,490.91753333333327,Si,Si,Si,Si,No,Si,No,Si
Masculino,Privado,274.5566,335.7345,309.55080000000004,306.6139666666667,Si,No,Si,Si,No,No,No,Si
Masculino,Privado,524.3813,508.6571,501.3045000000001,511.4476333333334,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,376.3475,418.45,445.245,413.3475,No,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,272.58230000000003,272.31579999999997,276.8072,273.9017666666667,Si,No,Si,Si,Si,Si,No,Si
Femenino,Privado,376.273,378.23820000000006,384.9137999999999,379.8083333333334,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,314.1134,279.42609999999996,380.8674,324.8023,Si,No,Si,No,Si,No,Si,Si
Femenino,Privado,311.259,292.5549,320.1947,308.00286666666665,No,No,No,No,Si,No,No,Si
Masculino,Publico,319.84329999999994,350.90790000000004,320.5946,330.4486,Si,Si,Si,No,No,Si,No,No
Femenino,Publico,435.0977,483.1988,425.61710000000005,447.97119999999995,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,345.8441000000001,385.6442,393.9751,375.1544666666667,Si,No,Si,Si,Si,No,Si,No
Masculino,Publico,342.76390000000004,365.02220000000005,405.6377,371.1412666666667,Si,No,Si,Si,Si,No,No,No
Masculino,Publico,287.9742,319.9568,310.14879999999994,306.0266,No,No,Si,Si,No,Si,Si,
Femenino,Publico,468.4913,448.74179999999996,525.3525,480.86186666666663,No,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,267.8371,296.76609999999994,318.993,294.53206666666665,No,Si,Si,Si,Si,Si,Si,Si
Masculino,Privado,314.18600000000004,285.03139999999996,301.2529,300.15676666666667,No,No,Si,No,Si,No,Si,
Masculino,Privado,434.9295,493.90549999999996,422.2742,450.3697333333334,Si,Si,Si,Si,Si,No,No,No
Masculino,Publico,440.80600000000004,374.5089,459.28689999999995,424.86726666666664,No,No,Si,No,Si,No,Si,Si
Masculino,Privado,322.3054000000001,308.1029,404.03010000000006,344.8128,No,No,Si,Si,Si,Si,Si,No
Femenino,Publico,412.7098,492.9210000000001,451.0822,452.2376666666667,No,Si,Si,No,No,No,Si,Si
Femenino,Publico,338.2561,337.9666,337.5054,337.9093666666667,Si,No,Si,,No,Si,No,Si
Femenino,Publico,271.55150000000003,222.17920000000004,300.18260000000004,264.6377666666667,Si,No,Si,Si,Si,No,Si,Si
Masculino,Publico,479.38530000000003,577.3515,556.6641000000001,537.8003,Si,No,No,Si,Si,Si,Si,No
Masculino,Publico,482.2237,474.3205,471.87129999999996,476.1385,Si,Si,Si,Si,Si,Si,Si,No
Femenino,Publico,302.611,303.61429999999996,238.3263,281.5172,No,No,Si,No,No,Si,No,No
Masculino,Publico,311.76199999999994,306.4362,333.98609999999996,317.3947666666666,Si,Si,Si,No,Si,No,No,No
Femenino,Publico,457.52,443.95689999999996,500.3779999999999,467.2849666666666,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,378.37519999999995,441.71729999999997,420.8619,413.6514666666667,Si,Si,Si,Si,Si,Si,Si,No
Femenino,Publico,314.73300000000006,294.39799999999997,292.11049999999994,300.41383333333334,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,358.7236,345.5044,386.9933,363.7404333333333,No,Si,No,Si,No,Si,No,Si
Femenino,Privado,362.93809999999996,399.8553999999999,322.1176,361.63703333333325,Si,Si,Si,Si,No,Si,Si,Si
Masculino,Publico,395.66040000000004,322.93559999999997,441.0531,386.54970000000003,No,No,Si,Si,Si,No,Si,Si
Femenino,Publico,381.5545,388.89289999999994,386.1746,385.5406666666667,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,353.9295,384.22040000000004,350.8256,362.9918333333333,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,462.8804,572.0964999999999,509.84340000000003,514.9400999999999,Si,Si,Si,No,No,No,No,No
Masculino,Publico,433.65070000000003,406.5228,398.926,413.03316666666666,Si,Si,Si,No,Si,No,No,
Masculino,Publico,331.3860999999999,351.0370000000001,353.7518,345.39163333333335, ,,,,No,No,No,Si
Masculino,Privado,428.2037,442.15970000000004,452.2601000000001,440.87450000000007,Si,Si,Si,Si,No,No,Si,Si
Masculino,Publico,395.32910000000004,410.9987,382.8478,396.39186666666666,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,466.5867,538.9251999999999,488.60029999999995,498.0374,Si,No,Si,Si,No,No,No,No
Masculino,Publico,428.81170000000003,487.73999999999995,437.0866,451.2127666666667,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,315.5856,198.3428,340.13669999999996,284.6883666666667,Si,Si,No,No,No,Si,Si,Si
Masculino,Privado,412.0843,519.1668,422.44660000000005,451.2325666666666,Si,No,Si,Si,Si,No,No,Si
Femenino,Publico,304.7764,257.8505,204.89659999999998,255.84116666666668,No,Si,No,No,No,Si,Si,Si
Femenino,Publico,311.1652,301.89430000000004,360.68670000000003,324.58206666666666,Si,Si,Si,Si,Si,Si,Si,
Masculino,Publico,494.89669999999995,510.4539000000001,475.5138,493.62146666666666,Si,No,Si,No,No,Si,No,No
Masculino,Publico,300.03010000000006,336.4308,305.8674000000001,314.10943333333336,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,302.7091,282.21119999999996,314.8458,299.92203333333333,Si,No,Si,No,No,Si,Si,Si
Femenino,Publico,450.5093,442.56680000000006,469.37660000000005,454.15090000000004,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,297.42949999999996,302.1523,315.4655,305.01576666666665,Si,No,Si,Si,No,No,No,No
Femenino,Publico,387.6494,398.03959999999995,404.75620000000004,396.8150666666667,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,405.0594,432.63539999999995,400.14140000000003,412.61206666666664,Si,Si,Si,No,No,Si,Si,Si
Masculino,Privado,425.2665,467.48400000000004,434.3866,442.3790333333334,No,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,480.17629999999997,487.9503000000001,461.32210000000003,476.48290000000003,Si,No,No,Si,No,Si,Si,Si
Masculino,Publico,346.93820000000005,321.96259999999995,347.7311,338.87730000000005,Si,No,Si,No,Si,Si,Si,Si
Femenino,Publico,284.6073,313.697,256.8701,285.05813333333333,Si,No,No,Si,No,No,Si,Si
Masculino,Privado,550.7474,593.6745,587.9304,577.4507666666666,Si,No,Si,No,No,Si,Si,Si
Femenino,Publico,422.22980000000007,465.1046,463.1731999999999,450.1692,Si,Si,No,Si,No,Si,No,Si
Masculino,Publico,298.59590000000003,254.1687,313.93729999999994,288.9006333333333,Si,No,No,Si,No,No,No,Si
Masculino,Publico,392.753,425.8352,405.0677,407.8853,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,398.4304,387.28040000000004,390.213,391.9746,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,337.6313,273.8447,348.5783,320.0181,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,328.51959999999997,331.4211,336.26680000000005,332.06916666666666,Si,No,No,No,No,Si,Si,Si
Masculino,Privado,313.23380000000003,323.41700000000003,387.0849999999999,341.2452666666667,No,No,Si,,No,Si,Si,Si
Masculino,Privado,406.19960000000003,464.39349999999996,434.9531,435.1820666666667,No,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,328.43800000000005,331.9306,349.9158,336.76146666666665,No,No,No,Si,No,Si,Si,Si
Femenino,Publico,434.10200000000003,479.907,450.30730000000005,454.77209999999997,Si,Si,Si,No,Si,No,Si,Si
Masculino,Publico,366.37260000000003,333.133,369.26050000000004,356.2553666666667,Si,No,No,No,Si,No,No,Si
Masculino,Publico,327.432,309.77709999999996,345.77689999999996,327.662,No,No,No,Si,Si,Si,No,No
Femenino,Publico,305.7541,369.59810000000004,368.9969,348.11636666666664,No,Si,No,Si,No,Si,Si,Si
Femenino,Publico,342.55460000000005,357.6612,395.3464,365.1874,Si,No,Si,Si,Si,Si,No,Si
Masculino,Publico,432.62070000000006,457.3781000000001,432.6508,440.88320000000004,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,353.58349999999996,342.9695,328.66580000000005,341.73959999999994,Si,Si,Si,Si,No,Si,No,Si
Femenino,Publico,376.2491,363.7277,401.5484,380.5084,No,No,Si,Si,Si,Si,Si,No
Masculino,Privado,334.11490000000003,326.8819,324.9780999999999,328.6583,Si,No,Si,No,No,Si,Si,Si
Femenino,Privado,472.33629999999994,517.5995999999999,453.0901,481.0086666666666,No,No,Si,Si,No,Si,Si,Si
Masculino,Publico,503.61469999999997,499.47749999999996,441.116,481.40273333333334,Si,No,Si,No,Si,Si,No,No
Femenino,Publico,427.8603,486.9835999999999,503.0469999999999,472.6303,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,365.7354,346.6793,371.419,361.27790000000005,Si,No,No,Si,No,Si,No,Si
Masculino,Publico,487.0536,541.8443000000001,565.0238999999999,531.3072666666667,Si,Si,Si,No,Si,Si,Si,
Masculino,Publico,351.44719999999995,310.9422,316.75530000000003,326.3815666666667,No,No,Si,Si,No,Si,No,Si
Femenino,Publico,389.31430000000006,370.2027,389.036,382.85100000000006,No,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,359.93789999999996,389.09590000000003,327.3368,358.79019999999997,No,No,,Si,Si,Si,Si,No
Masculino,Publico,301.47159999999997,302.3075,292.45930000000004,298.7461333333333,Si,No,Si,No,No,Si,Si,Si
Masculino,Privado,274.1088000000001,356.1563,304.62539999999996,311.63016666666664,Si,No,Si,No,Si,Si,No,Si
Femenino,Publico,446.6028,476.97970000000004,485.38679999999994,469.6564333333333,Si,No,Si,Si,Si,No,No,
Masculino,Publico,273.01279999999997,230.15479999999997,290.35510000000005,264.50756666666666,No,No,,Si,No,No,Si,Si
Masculino,Publico,550.3667,540.5417,571.6453,554.1845666666667,No,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,504.6139,493.25969999999995,528.2483000000001,508.70730000000003,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,386.2374,451.2018999999999,375.79220000000004,404.41049999999996,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,398.86179999999996,453.5287,449.83949999999993,434.07666666666665,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Publico,304.6487,377.8546,319.36289999999997,333.9554,Si,No,Si,Si,No,No,Si,
Masculino,Privado,420.2652,436.58820000000003,475.4398,444.09773333333334,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,272.053,304.38159999999993,299.61789999999996,292.0175,99,No,Si,Si,No,Si,Si,Si
Masculino,Publico,553.4462000000001,604.0899,544.3086000000001,567.2815666666667,Si,No,Si,Si,Si,Si,Si,
Femenino,Publico,313.5264,312.47319999999996,342.1603,322.71996666666666,No,No,Si,No,No,Si,Si,Si
Masculino,Privado,547.6762000000001,506.1148,560.1384,537.9764666666667,Si,Si,Si,No,No,Si,No,Si
Femenino,Publico,364.4002,348.1189,370.941,361.15336666666667,No,No,No,Si,No,Si,Si,Si
Masculino,Publico,349.804,366.53020000000004,418.87350000000004,378.40256666666664,No,No,No,Si,No,No,Si,Si
Masculino,Privado,361.95899999999995,457.40770000000003,376.33660000000003,398.5677666666667,No,Si,Si,Si,Si,Si,No,Si
Masculino,Publico,398.8627,397.83430000000004,391.7016,396.13286666666664,Si,No,Si,Si,No,Si,No,No
Femenino,Publico,551.8299000000001,550.5155000000001,630.1682999999999,577.5045666666666,Si,Si,Si,No,No,Si,Si,Si
Masculino,Publico,243.926,239.41369999999998,268.38489999999996,250.57486666666668,Si,No,No,No,Si,No,No,Si
Femenino,Publico,295.67,342.9078,324.68999999999994,321.0892666666667,Si,No,Si,No,No,No,No,No
Masculino,Publico,279.89459999999997,257.15330000000006,320.5558,285.8679,No,No,Si,No,No,Si,No,No
Masculino,Publico,376.8755,414.05920000000003,393.0483,394.661,Si,Si,Si,Si,No,Si,Si,No
Masculino,Publico,474.0048,482.0293,469.3927,475.14226666666667,Si,Si,Si,No,No,No,No,Si
Femenino,Publico,422.3344,446.76219999999995,444.46870000000007,437.8551,Si,No,Si,Si,No,Si,No,No
Femenino,Privado,413.60569999999996,441.2902,406.97720000000004,420.6243666666667,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Privado,344.71400000000006,395.6308,398.49120000000005,379.6120000000001,Si,No,No,No,Si,Si,Si,
Masculino,Privado,452.75249999999994,493.21690000000007,475.187,473.71879999999993,Si,Si,Si,Si,Si,Si,No,No
Masculino,Privado,341.3491,379.03720000000004,322.8068,347.7310333333334,No,Si,Si,Si,No,No,No,Si
Masculino,Publico,303.8234,348.9013,372.2543,341.6596666666667,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,409.83869999999996,433.2704,418.9669,420.692,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,410.1992,415.24449999999996,452.49840000000006,425.98070000000007,Si,No,Si,Si,Si,Si,Si,
Femenino,Publico,402.1949,465.3017,426.24260000000004,431.2464,Si,No,Si,Si,Si,No,Si,Si
Masculino,Privado,417.09409999999997,443.4937,441.69569999999993,434.0945,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,504.16670000000005,542.2248999999999,606.2556999999999,550.8824333333333,Si,No,Si,No,No,Si,Si,Si
Masculino,Publico,360.8463,448.3968,378.10650000000004,395.7832,Si,No,Si,No,Si,Si,Si,Si
Masculino,Publico,481.4982,495.9088,491.96819999999997,489.7917333333333,No,No,No,Si,No,Si,Si,
Femenino,Publico,330.3576,352.29740000000004,335.87980000000005,339.5116,No,No,No,Si,No,Si,Si,Si
Femenino,Privado,467.9225,487.88530000000003,572.1877,509.33183333333335,Si,No,Si,No,Si,Si,No,
Femenino,Publico,331.9529,321.59149999999994,331.7996,328.44800000000004,No,No,Si,Si,Si,Si,No,Si
Femenino,Publico,346.8661,342.28239999999994,342.0842,343.74423333333334,Si,No,No,Si,Si,No,No,
Femenino,Publico,376.45860000000005,433.8965999999999,378.52709999999996,396.2941,Si,No,Si,Si,No,Si,Si,
Masculino,Publico,500.69620000000015,493.19809999999995,545.6656,513.1866333333334,Si,Si,Si,Si,No,No,Si,No
Masculino,Publico,319.4166,330.0639,332.47470000000004,327.31840000000005,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,440.0598,447.7626,431.7808999999999,439.8677666666667,Si,No,Si,No,Si,No,Si,Si
Masculino,Privado,355.1382,381.6714,394.87609999999995,377.22856666666667,Si,No,Si,Si,Si,Si,No,No
Femenino,Publico,258.30519999999996,231.9919,253.32889999999998,247.87533333333332,No,No,Si,,Si,No,No,Si
Femenino,Publico,602.7591,604.4616000000001,625.2434,610.8213666666667,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,294.01000000000005,285.30049999999994,271.8885,283.733,No,Si,Si,No,No,Si,Si,
Masculino,Privado,293.8447,290.257,303.1979,295.7665333333333,Si,,Si,No,No,Si,Si,No
Masculino,Publico,377.0847,367.06970000000007,401.6583,381.9375666666667,Si,Si,Si,No,No,Si,Si,Si
Femenino,Publico,492.5067000000001,508.299,487.9125,496.2394000000001,Si,No,Si,Si,No,Si,No,Si
Masculino,Privado,494.5683,505.146,501.7982,500.50416666666666,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,498.1410000000001,482.7098,489.7906000000001,490.21380000000005,Si,No,Si,Si,Si,No,No,Si
Femenino,Privado,346.81780000000003,320.8655,376.6644,348.1159,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Publico,531.9696999999999,492.2320999999999,521.9466,515.3828,Si,Si,Si,Si,Si,Si,Si,No
Masculino,Publico,314.8876,311.55430000000007,287.5856,304.67583333333334,Si,No,Si,Si,No,Si,No,Si
Masculino,Privado,376.2559,467.994,421.45869999999996,421.9028666666666,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,315.9216,362.4026,349.9315,342.75190000000003,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,314.05789999999996,323.7422,333.9569,323.919, ,,,,No,Si,Si,
Masculino,Publico,364.9501,364.0102,408.65759999999995,379.20596666666665,Si,No,No,Si,No,Si,Si,
Masculino,Publico,462.703,486.60929999999996,486.9673000000001,478.7598666666667,Si,Si,No,Si,No,Si,No,Si
Femenino,Publico,365.9353,402.94030000000004,432.8759,400.58383333333336,Si,No,Si,Si,No,Si,No,Si
Femenino,Privado,401.6328,424.9295,370.2243,398.9288666666667,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,468.7991,525.2203000000001,488.7076,494.24233333333336,Si,No,Si,Si,No,No,Si,Si
Masculino,Publico,289.2151,254.1697,270.16730000000007,271.1840333333334,No,Si,Si,No,Si,No,No,Si
Femenino,Publico,400.5824,493.09289999999993,426.6602000000001,440.1118333333333,Si,No,Si,Si,No,No,Si,
Femenino,Publico,369.86,357.571,317.1788,348.2032666666667,Si,No,Si,No,No,No,No,No
Masculino,Publico,420.9411,454.68050000000005,393.34299999999996,422.9882,Si,Si,Si,Si,No,No,Si,Si
Femenino,Publico,343.9035999999999,349.6665,303.4038999999999,332.3246666666666,Si,,Si,Si,Si,No,No,No
Femenino,Publico,409.414,341.1551,416.9938,389.1876333333333,Si,No,No,Si,No,No,No,
Masculino,Privado,345.4432,389.9622,355.09939999999995,363.5016,Si,Si,Si,Si,Si,Si,No,Si
Masculino,Publico,311.699,284.16749999999996,352.0757,315.9807333333333,No,No,No,Si,No,No,No,No
Femenino,Publico,450.2416,553.0423,538.6255,513.9698,Si,Si,Si,Si,No,Si,No,No
Masculino,Privado,391.81609999999995,396.5639,423.13469999999995,403.8382333333332,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,414.24609999999996,355.7769,442.8969,404.3066333333333,Si,No,Si,Si,Si,No,No,No
Masculino,Publico,393.51989999999995,431.1474,379.19180000000006,401.2863666666667,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,480.1103999999999,492.2401,473.4781,481.9428666666666,No,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,418.5179000000001,415.50789999999995,371.7039000000001,401.9099000000001,Si,No,No,Si,No,Si,Si,Si
Masculino,Publico,365.1662,371.0969,400.368,378.8770333333334,Si,Si,Si,Si,No,No,Si,Si
Femenino,Privado,481.4974,447.67249999999996,458.1906,462.4535,No,Si,Si,Si,Si,No,Si,Si
Masculino,Privado,343.5157,366.1246,336.1797,348.60666666666674,Si,No,Si,Si,Si,Si,Si,
Femenino,Privado,517.0814,552.9814,569.8281999999999,546.6303333333334,Si,No,Si,No,No,Si,Si,Si
Masculino,Privado,294.7772,318.18469999999996,366.4971,326.48633333333333,Si,No,Si,Si,Si,Si,No,Si
Masculino,Publico,321.8531,355.9366,327.0998000000001,334.9631666666667,No,No,Si,Si,No,Si,Si,Si
Masculino,Publico,375.8298,452.99359999999996,399.91850000000005,409.5806333333333,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,566.4688,533.5593,584.3969999999999,561.4750333333333,Si,No,No,Si,No,Si,Si,Si
Femenino,Privado,347.5766,284.1803,322.07480000000004,317.9439,Si,No,Si,Si,Si,Si,No,
Femenino,Publico,333.3284,308.12660000000005,332.2983,324.5844333333334,Si,No,Si,Si,No,No,No,No
Femenino,Publico,396.7536,414.97479999999996,411.23429999999996,407.65423333333337,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,412.9933,460.85320000000013,418.3389,430.7284666666667,Si,No,Si,Si,Si,No,No,Si
Femenino,Publico,323.0697,322.2252,345.3385,330.2111333333333,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,379.7062,503.5445000000001,395.0761,426.10893333333337,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,333.54690000000005,268.50539999999995,339.06000000000006,313.70410000000004,Si,Si,Si,No,Si,No,Si,Si
Masculino,Publico,482.4566000000001,503.9728,568.2259,518.2184333333333,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,331.60490000000004,370.48319999999995,358.2444,353.44416666666666,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,398.2327,425.91089999999997,417.68949999999995,413.9443666666666,No,No,No,Si,No,Si,No,No
Masculino,Publico,462.76269999999994,441.3269,424.04470000000003,442.7114333333334,Si,No,Si,Si,Si,No,Si,Si
Femenino,Publico,302.15680000000003,295.2746000000001,300.3335,299.2549666666667,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,253.64809999999997,289.73730000000006,277.2306,273.53866666666664,Si,No,Si,No,Si,No,Si,No
Femenino,Publico,488.52139999999997,495.42840000000007,468.0161,483.9886333333334,Si,No,No,Si,Si,No,Si,Si
Femenino,Publico,361.4516,345.19559999999996,351.5881,352.7450999999999,No,No,Si,Si,No,Si,No,Si
Masculino,Publico,297.1691,303.19160000000005,308.20590000000004,302.85553333333337,Si,No,No,Si,No,No,No,Si
Femenino,Privado,442.46009999999995,407.9289,457.2554,435.88146666666665,No,No,Si,Si,Si,Si,Si,
Masculino,Publico,329.236,356.7538,324.34619999999995,336.77866666666665,Si,Si,Si,Si,No,No,No,No
Masculino,Publico,275.9056,289.8606,301.27479999999997,289.01366666666667,Si,No,Si,No,No,Si,Si,Si
Masculino,Publico,528.6967,540.4554,607.9335,559.0285333333333,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Publico,398.84029999999996,436.4692,433.0209000000001,422.77680000000004,Si,No,Si,Si,No,Si,Si,No
Femenino,Privado,431.9335,389.49979999999994,400.23069999999996,407.22133333333323,Si,No,No,Si,No,No,No,Si
Masculino,Publico,478.18769999999995,485.0884,476.6875,479.98786666666666,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,388.75329999999997,398.92079999999993,375.05010000000004,387.57473333333337,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,392.0162,458.32859999999994,415.6755999999999,422.00679999999994,Si,No,Si,Si,Si,Si,No,Si
Masculino,Privado,333.8687,360.9401,282.1179000000001,325.64223333333337,Si,No,Si,Si,No,Si,Si,Si
Masculino,Publico,371.2649,435.0119000000001,418.8933,408.39003333333335,No,Si,Si,Si,No,No,No,No
Masculino,Publico,304.7351,316.9238,325.3488,315.66923333333335,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,391.5524,391.65829999999994,419.4027,400.87113333333326,Si,No,Si,Si,No,Si,Si,
Masculino,Publico,305.9728,264.79359999999997,322.8384,297.86826666666667,No,Si,Si,No,No,Si,No,No
Femenino,Publico,369.311,378.76570000000004,379.4648,375.8471666666667,Si,No,No,Si,No,No,No,
Masculino,Publico,502.162,554.8891000000001,512.5827999999999,523.2113,Si,Si,Si,Si,No,Si,Si,
Masculino,Privado,404.3882,542.1034,498.4143000000001,481.6353,Si,Si,Si,Si,No,Si,No,Si
Femenino,Privado,430.1283,500.60999999999996,423.98789999999997,451.5754,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,382.1404,396.2482,374.82370000000003,384.4041,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,420.1509,431.5995000000001,456.5162,436.0888666666667,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,522.5759,587.6875,529.2142,546.4925333333334,Si,No,Si,Si,Si,Si,Si,Si
