Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Masculino,Publico,322.0529,320.96310000000005,356.2672,333.0944,Si,No,No,No,Si,No,No,No
Femenino,Publico,238.2489,264.8675,254.60459999999998,252.57366666666667,Si,No,No,Si,Si,Si,No,No
Masculino,Publico,338.991,394.5498,349.0210000000001,360.8539333333333,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,409.78189999999995,450.3156,381.3920999999999,413.82986666666665,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,395.05920000000003,420.08729999999997,388.27760000000006,401.1413666666667,Si,No,Si,Si,Si,Si,Si,No
Masculino,Publico,507.4402999999999,474.24770000000007,457.4317,479.7065666666667,Si,Si,Si,Si,No,No,No,Si
Femenino,Publico,469.32210000000003,433.75930000000005,426.3723,443.1512333333333,Si,No,Si,No,Si,No,No,Si
Femenino,Publico,418.8459,431.2879,423.75059999999996,424.6281333333333,Si,No,Si,No,No,Si,Si,Si
Masculino,Publico,292.74670000000003,316.63739999999996,283.04720000000003,297.4771,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Privado,399.37520000000006,402.28149999999994,346.7695,382.8087333333333,No,Si,No,Si,No,No,No,Si
Femenino,Publico,385.0949,375.21459999999996,379.52110000000005,379.94353333333333,No,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,361.6373,375.5467,383.5689,373.5843,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,267.7656,285.159,276.1282,276.35093333333333,Si,No,Si,Si,Si,No,Si,No
Masculino,Publico,390.2785,464.49569999999994,467.6456,440.80659999999995,No,No,Si,Si,Si,Si,Si,Si
Masculino,Privado,367.19800000000004,355.95630000000006,363.63360000000006,362.26263333333344,Si,No,No,Si,No,Si,Si,Si
Femenino,Publico,252.0736,279.0139,220.68759999999997,250.59169999999997,No,No,Si,No,No,No,Si,
Masculino,Privado,397.2246999999999,360.39300000000003,412.36839999999995,389.9953666666667,No,No,Si,Si,Si,No,No,Si
Femenino,Publico,494.3768,484.56270000000006,506.66499999999996,495.20149999999995,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Publico,372.4021000000001,412.23589999999996,379.24999999999994,387.9626666666666,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,497.8538,542.9474,522.9988000000001,521.2666666666667,Si,Si,Si,Si,Si,No,No,Si
Femenino,Publico,400.31679999999994,481.7206,434.1638,438.7337333333333,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,347.63649999999996,417.2646,429.5697,398.15693333333337,No,No,No,Si,No,Si,Si,Si
Masculino,Publico,374.4675,466.09979999999996,390.94749999999993,410.5049333333333,Si,No,Si,Si,No,Si,No,Si
Masculino,Privado,365.04380000000003,379.1074,390.3333,378.1615,Si,No,Si,Si,Si,No,No,
Femenino,Publico,370.11289999999997,382.75739999999996,388.9866,380.61896666666667,Si,No,Si,Si,No,No,No,
Femenino,Publico,508.62180000000006,479.8923000000001,539.8265000000001,509.4468666666667,Si,Si,Si,No,No,Si,No,No
Masculino,Publico,276.12879999999996,278.7727,353.1155,302.6723333333333,Si,No,No,Si,Si,Si,Si,Si
Femenino,Publico,355.6922,321.89410000000004,363.3166999999999,346.9676666666667,No,No,Si,Si,Si,Si,Si,No
Femenino,Publico,313.997,342.9498,283.8221,313.5896333333333,Si,No,Si,Si,No,No,Si,Si
Masculino,Publico,480.3791,468.09620000000007,530.7211,493.0654666666667,Si,No,Si,No,Si,Si,Si,Si
Femenino,Publico,339.56489999999997,388.2929,328.4022,352.08666666666664,Si,No,Si,Si,No,No,Si,No
Femenino,Publico,306.2875,376.7915,333.3733,338.8174333333333,Si,No,Si,Si,No,No,No,No
Femenino,Publico,307.334,411.462,324.8469,347.88096666666667,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,429.1294,418.1107,481.22290000000004,442.82099999999997,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Publico,363.6495,425.7389,439.5741,409.6541666666667,No,No,Si,No,No,Si,Si,Si
Femenino,Publico,425.2835999999999,456.4142,477.37970000000007,453.0258333333333,Si,No,Si,Si,Si,Si,Si,Si
